                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.712,                 4.2799,                 1.3183,                 0.0039,                0.22036,                0.02134,                0.01293,                 1.5485,                  4.104,                 1.1275,             0.00011817,             0.00011817,             0.00011817
                      2,                  1.758,                 3.4141,                 1.2187,                0.01308,                0.52176,                0.11007,                0.05225,                 1.6823,                 3.4609,                 1.1548,               0.000243,               0.000243,               0.000243
                      3,                 1.7444,                 2.5869,                 1.2045,                0.83113,                0.07375,                0.23898,                0.12617,                 1.7207,                  3.031,                 1.1824,             0.00036531,             0.00036531,             0.00036531
                      4,                 1.6921,                 2.2173,                 1.2023,                0.51559,                0.04882,                 0.2296,                0.11646,                 1.7773,                  3.173,                 1.2776,              0.0004851,              0.0004851,              0.0004851
                      5,                  1.667,                 1.9493,                 1.1759,                 0.5956,                0.18048,                0.29073,                0.14654,                 1.7356,                 2.7002,                 1.2585,             0.00060237,             0.00060237,             0.00060237
                      6,                 1.6231,                 1.7876,                 1.1752,                0.36611,                0.19052,                 0.2523,                0.12312,                 1.7628,                 2.6875,                 1.2733,             0.00071712,             0.00071712,             0.00071712
                      7,                  1.634,                 1.7369,                 1.1686,                0.60025,                0.18512,                0.28793,                0.15533,                 1.7496,                 2.8551,                  1.271,             0.00082936,             0.00082936,             0.00082936
                      8,                 1.5818,                 1.6542,                 1.1743,                0.52439,                0.27442,                0.31118,                0.15879,                 1.7957,                 2.3997,                 1.3033,             0.00084601,             0.00084601,             0.00084601
                      9,                 1.6326,                 1.5861,                 1.1858,                 0.4327,                0.40745,                0.35325,                0.18396,                 1.7705,                 1.9984,                 1.2522,             0.00084601,             0.00084601,             0.00084601
                     10,                 1.5692,                 1.4727,                 1.1604,                0.44231,                0.36499,                0.32596,                 0.1669,                 1.8136,                 2.3167,                 1.2671,             0.00083701,             0.00083701,             0.00083701
                     11,                 1.5297,                 1.4822,                 1.1674,                0.42786,                 0.4087,                 0.3757,                0.19708,                 1.7926,                 1.9495,                 1.2558,             0.00082801,             0.00082801,             0.00082801
                     12,                 1.5855,                 1.4485,                 1.1619,                0.46448,                0.52686,                0.48843,                0.26533,                 1.6916,                 1.7192,                 1.2394,             0.00081901,             0.00081901,             0.00081901
                     13,                 1.5061,                  1.386,                 1.1406,                0.56944,                0.43321,                0.50609,                0.28611,                 1.6767,                 1.6638,                 1.2411,             0.00081001,             0.00081001,             0.00081001
                     14,                 1.4859,                 1.3209,                 1.1376,                0.49176,                0.46965,                0.43994,                0.24183,                  1.683,                 1.8108,                 1.2433,             0.00080101,             0.00080101,             0.00080101
                     15,                 1.4798,                 1.3235,                 1.1361,                0.60781,                0.51389,                0.55348,                0.30593,                 1.6621,                 1.6543,                 1.2177,             0.00079201,             0.00079201,             0.00079201
                     16,                 1.5259,                 1.3599,                 1.1422,                0.68983,                0.48339,                0.57659,                0.32314,                 1.6493,                 1.4988,                 1.2197,             0.00078301,             0.00078301,             0.00078301
                     17,                 1.4851,                 1.2772,                 1.1245,                  0.601,                0.50345,                0.53763,                0.29704,                 1.7141,                 1.5109,                 1.2185,             0.00077401,             0.00077401,             0.00077401
                     18,                 1.4636,                 1.2634,                 1.1292,                0.67846,                0.47798,                0.55111,                0.30348,                 1.6957,                 1.7504,                 1.2182,             0.00076501,             0.00076501,             0.00076501
                     19,                 1.4857,                   1.26,                 1.1247,                0.68335,                0.56796,                0.60932,                0.32653,                 1.6765,                 1.5174,                 1.2197,             0.00075602,             0.00075602,             0.00075602
                     20,                 1.4587,                 1.2232,                 1.1064,                0.61187,                0.53425,                0.55921,                 0.2965,                 1.6478,                 1.6167,                 1.2241,             0.00074702,             0.00074702,             0.00074702
                     21,                 1.4394,                 1.1665,                 1.1087,                0.67013,                0.55228,                0.60016,                0.32158,                 1.6521,                 1.5069,                 1.2252,             0.00073802,             0.00073802,             0.00073802
                     22,                  1.433,                 1.2201,                 1.1185,                0.68255,                0.56772,                0.62558,                 0.3295,                 1.6796,                 1.4513,                 1.2451,             0.00072902,             0.00072902,             0.00072902
                     23,                 1.4571,                  1.168,                 1.1088,                0.64261,                0.58299,                0.62039,                0.33606,                 1.7019,                 1.3726,                 1.2245,             0.00072002,             0.00072002,             0.00072002
                     24,                 1.4244,                 1.1374,                 1.0978,                0.64121,                0.57488,                0.61276,                0.32085,                 1.7145,                 1.3868,                 1.2375,             0.00071102,             0.00071102,             0.00071102
                     25,                 1.3911,                 1.1359,                  1.092,                0.62987,                0.58732,                0.60489,                0.33162,                 1.6891,                 1.4468,                 1.2212,             0.00070202,             0.00070202,             0.00070202
